company,role,email,contact_name
Google,Full Stack Engineer,careers@google.com,Google Hiring Team
Microsoft,Cloud Developer,jobs@microsoft.com,Microsoft Careers
Amazon,SDE Internship,careers@amazon.com,Amazon Talent
Meta,React Developer,jobs@meta.com,Meta Engineering
Apple,Systems Engineer,careers@apple.com,Apple Talent
Tesla,Automation Engineer,careers@tesla.com,Tesla HR
SpaceX,Software Engineer,careers@spacex.com,SpaceX Team
Netflix,Backend Engineer,jobs@netflix.com,Netflix Careers
Airbnb,Full Stack Developer,careers@airbnb.com,Airbnb Talent
Uber,Machine Learning Engineer,careers@uber.com,Uber Engineering
